30173,220,4
P-151,U5,0,0,0,106,79,44
P-170,U5,106,0,0,187,100,44
P-298,U5,0,79,0,91,165,44
P-220,U5,91,100,0,195,171,44
P-32,U5,0,165,0,70,263,44
P-278,U5,70,171,0,150,244,44
P-53,U5,70,244,0,176,297,44
P-327,U5,176,171,0,234,267,44
P-25,U5,187,0,0,240,77,44
P-80,U5,195,77,0,238,162,44
P-221,U5,176,267,0,244,316,44
P-85,U5,0,263,0,68,310,44
P-245,U5,0,0,44,105,80,97
P-314,U5,105,0,44,189,93,97
P-242,U5,0,80,44,69,169,97
P-360,U5,0,169,44,76,249,97
P-87,U5,69,93,44,176,147,97
P-280,U5,176,93,44,237,183,97
P-1,U5,0,249,44,99,304,97
P-266,U5,76,147,44,164,208,97
P-29,U5,164,183,44,226,269,97
P-378,U5,99,208,44,158,297,97
P-97,U5,189,0,44,242,93,97
P-48,U5,158,269,44,223,317,97
P-154,U5,0,0,97,103,91,161
P-28,U5,103,0,97,198,81,161
P-50,U5,103,81,97,207,154,161
P-102,U5,0,91,97,70,197,161
P-196,U5,70,154,97,177,220,161
P-302,U5,0,197,97,65,303,161
P-308,U5,177,154,97,234,264,161
P-256,U5,65,220,97,131,312,161
P-216,U5,131,220,97,175,303,161
P-381,U5,175,264,97,244,312,161
P-272,U5,198,0,97,238,75,161
P-43,U5,0,0,161,86,108,212
P-228,U5,86,0,161,178,98,212
P-254,U5,86,98,161,185,177,212
P-54,U5,0,108,161,59,214,212
P-172,U5,0,214,161,76,285,212
P-397,U5,178,0,161,237,80,212
P-37,U5,185,80,161,244,156,212
P-3,U5,185,156,161,227,257,212
P-153,U5,76,177,161,140,239,212
P-361,U5,76,239,161,137,304,212
P-326,U5,140,177,161,185,261,212
P-257,U5,137,261,161,204,315,212
P-100,U5,0,0,212,87,100,274
P-247,U5,87,0,212,166,98,274
P-161,U5,166,0,212,244,97,274
P-88,U5,166,97,212,236,203,274
P-79,U5,87,98,212,162,184,274
P-373,U5,0,100,212,84,172,274
P-303,U5,0,172,212,57,278,274
P-244,U5,57,184,212,132,260,274
P-179,U5,132,203,212,205,266,274
P-27,U5,57,266,212,150,315,274
P-123,U5,0,278,212,43,318,274
P-52,U6,0,0,0,102,104,88
P-110,U6,102,0,0,202,86,88
P-306,U6,102,86,0,193,176,88
P-7,U6,0,104,0,78,197,88
P-184,U6,78,176,0,174,250,88
P-240,U6,0,197,0,65,298,88
P-175,U6,174,176,0,240,272,88
P-93,U6,65,250,0,157,318,88
P-12,U6,193,86,0,241,166,88
P-331,U6,157,272,0,228,315,88
P-174,U6,0,0,88,101,107,135
P-370,U6,101,0,88,201,106,135
P-155,U6,101,106,88,188,201,135
P-156,U6,0,107,88,73,217,135
P-186,U6,73,201,88,166,285,135
P-108,U6,166,201,88,236,310,135
P-232,U6,0,217,88,67,301,135
P-205,U6,201,0,88,241,109,135
P-66,U6,188,109,88,238,195,135
P-101,U6,0,0,135,82,76,237
P-347,U6,82,0,135,187,53,237
P-58,U6,187,0,135,242,95,237
P-128,U6,82,53,135,148,132,237
P-115,U6,0,76,135,46,181,237
P-396,U6,148,95,135,190,204,237
P-382,U6,190,95,135,233,201,237
P-208,U6,190,201,135,240,290,237
P-195,U6,46,132,135,103,204,237
P-132,U6,0,181,135,42,273,237
P-250,U6,42,204,135,101,269,237
P-176,U6,101,204,135,163,264,237
P-164,U6,101,264,135,188,304,237
P-337,U6,0,273,135,77,313,237
P-322,U6,103,132,135,148,198,237
P-135,U6,0,0,237,66,108,282
P-34,U6,0,108,237,81,195,282
P-207,U6,66,0,237,161,70,282
P-40,U6,161,0,237,231,90,282
P-146,U6,81,70,237,137,170,282
P-182,U6,81,170,237,151,248,282
P-399,U6,137,90,237,226,134,282
P-14,U6,0,195,237,46,276,282
P-130,U6,0,276,237,78,316,282
P-372,U3,0,0,0,79,110,84
P-287,U3,0,110,0,86,209,84
P-235,U3,79,0,0,184,80,84
P-140,U3,0,209,0,106,274,84
P-166,U3,86,80,0,148,183,84
P-268,U3,106,183,0,169,283,84
P-259,U3,148,80,0,220,166,84
P-281,U3,169,166,0,224,271,84
P-198,U3,184,0,0,243,74,84
P-69,U3,169,271,0,223,318,84
P-44,U3,0,274,0,49,314,84
P-64,U3,0,0,84,104,100,140
P-20,U3,104,0,84,210,88,140
P-312,U3,104,88,84,201,178,140
P-263,U3,0,100,84,83,198,140
P-4,U3,83,178,84,158,286,140
P-2,U3,0,198,84,81,297,140
P-6,U3,158,178,84,242,269,140
P-380,U3,201,88,84,242,150,140
P-357,U3,158,269,84,216,309,140
P-190,U3,0,0,140,101,108,192
P-398,U3,101,0,140,204,85,192
P-279,U3,101,85,140,200,170,192
P-284,U3,0,108,140,70,218,192
P-248,U3,0,218,140,67,295,192
P-354,U3,67,218,140,137,288,192
P-159,U3,137,170,140,229,220,192
P-371,U3,137,220,140,185,311,192
P-202,U3,185,220,140,225,314,192
P-65,U3,0,0,192,78,110,242
P-238,U3,0,110,192,102,179,242
P-328,U3,78,0,192,156,82,242
P-23,U3,156,0,192,207,110,242
P-171,U3,102,110,192,157,203,242
P-167,U3,0,179,192,47,279,242
P-317,U3,47,179,192,100,265,242
P-315,U3,47,265,192,122,318,242
P-400,U3,100,203,192,164,255,242
