6,400,5000
U1,224,318,162,2500
U2,224,318,162,2500
U3,244,318,244,2800
U4,244,318,244,2800
U5,244,318,285,3500
U6,244,318,285,3500
P-1,99,53,55,61,E,176
P-2,56,99,81,53,P,-
P-3,42,101,51,17,P,-
P-4,108,75,56,73,E,138
P-5,88,58,64,93,E,139
P-6,91,56,84,47,P,-
P-7,88,78,93,117,E,102
P-8,108,105,76,142,E,108
P-9,73,71,88,50,P,-
P-10,88,70,85,81,P,-
P-11,55,80,81,23,E,96
P-12,48,80,88,27,E,117
P-13,55,94,87,41,E,73
P-14,45,46,81,27,E,68
P-15,84,49,60,57,P,-
P-16,48,93,63,82,P,-
P-17,83,63,57,29,P,-
P-18,68,101,95,96,E,65
P-19,51,87,69,73,E,107
P-20,88,106,56,71,P,-
P-21,105,71,105,223,E,116
P-22,100,92,99,191,E,86
P-23,51,50,110,59,P,-
P-24,81,109,55,123,E,69
P-25,44,77,53,37,E,108
P-26,69,56,73,56,E,130
P-27,93,62,49,18,E,122
P-28,81,64,95,70,E,139
P-29,62,86,53,23,E,122
P-30,88,85,102,164,E,70
P-31,71,49,76,67,E,76
P-32,70,44,98,53,E,124
P-33,90,89,73,132,E,136
P-34,87,45,81,45,E,77
P-35,83,72,63,96,E,103
P-36,86,80,78,146,P,-
P-37,59,76,51,33,E,131
P-38,84,96,48,21,E,60
P-39,96,64,61,61,E,111
P-40,70,45,90,78,E,106
P-41,104,90,68,72,P,-
P-42,62,109,41,46,P,-
P-43,51,86,108,87,E,109
P-44,84,40,49,28,E,87
P-45,91,72,81,92,P,-
P-46,71,62,94,39,P,-
P-47,86,58,104,149,E,67
P-48,53,65,48,33,E,67
P-49,69,40,100,55,P,-
P-50,73,104,64,75,P,-
P-51,57,86,97,65,E,67
P-52,104,88,102,96,E,121
P-53,44,53,106,14,E,74
P-54,106,51,59,20,E,98
P-55,95,93,77,71,E,78
P-56,65,68,109,77,E,85
P-57,83,64,59,32,E,137
P-58,95,102,55,126,E,134
P-59,85,79,49,26,E,111
P-60,60,85,87,23,E,84
P-61,57,109,95,130,E,136
P-62,43,92,88,25,E,84
P-63,75,69,85,111,E,116
P-64,100,56,104,123,E,62
P-65,50,78,110,56,E,121
P-66,50,47,86,53,E,72
P-67,76,57,101,34,E,65
P-68,92,46,81,62,P,-
P-69,84,47,54,57,P,-
P-70,108,101,77,158,E,102
P-71,99,43,60,41,P,-
P-72,89,83,44,79,E,66
P-73,104,86,63,79,P,-
P-74,73,87,69,115,E,61
P-75,74,43,85,42,E,128
P-76,40,92,96,81,E,123
P-77,96,50,65,57,E,88
P-78,74,104,42,85,E,116
P-79,86,62,75,61,E,91
P-80,43,85,44,20,E,127
P-81,110,101,93,94,E,116
P-82,66,71,97,130,P,-
P-83,106,105,99,168,E,97
P-84,94,66,78,41,E,82
P-85,47,68,44,42,E,74
P-86,65,63,41,50,P,-
P-87,54,53,107,84,E,116
P-88,70,106,62,106,E,74
P-89,68,109,108,60,E,117
P-90,44,98,102,119,E,60
P-91,91,92,50,89,E,76
P-92,58,58,65,59,E,138
P-93,88,68,92,100,E,133
P-94,67,98,66,95,P,-
P-95,91,69,89,68,E,73
P-96,50,65,84,40,E,68
P-97,53,53,93,54,E,120
P-98,108,63,94,139,E,76
P-99,71,70,68,28,E,108
P-100,100,62,87,104,E,79
P-101,102,82,76,154,E,109
P-102,70,106,64,70,E,135
P-103,44,78,102,84,P,-
P-104,90,95,95,110,E,108
P-105,80,95,103,225,P,-
P-106,90,54,92,100,P,-
P-107,99,100,100,252,E,134
P-108,47,109,70,95,E,90
P-109,98,79,44,53,P,-
P-110,86,88,100,158,E,89
P-111,62,103,65,27,E,60
P-112,63,79,67,20,P,-
P-113,55,86,75,88,E,87
P-114,80,93,104,175,E,124
P-115,46,105,102,112,E,105
P-116,106,109,83,132,E,128
P-117,52,49,65,33,P,-
P-118,90,82,75,55,E,114
P-119,41,79,104,25,E,61
P-120,48,91,74,82,E,105
P-121,79,108,80,99,E,124
P-122,77,104,46,67,E,105
P-123,43,62,40,7,E,75
P-124,54,104,72,96,P,-
P-125,68,85,91,139,P,-
P-126,85,64,60,94,P,-
P-127,71,78,67,79,E,66
P-128,79,102,66,44,E,92
P-129,110,59,85,64,P,-
P-130,78,45,40,18,E,79
P-131,82,80,79,84,E,109
P-132,92,102,42,115,E,77
P-133,63,109,91,174,P,-
P-134,80,88,97,150,P,-
P-135,108,66,45,56,E,132
P-136,47,66,102,36,P,-
P-137,59,110,96,108,E,120
P-138,85,80,89,142,E,87
P-139,96,84,75,123,P,-
P-140,84,106,65,60,E,119
P-141,70,43,87,34,E,70
P-142,92,74,83,169,P,-
P-143,82,100,106,206,E,76
P-144,59,72,106,120,E,111
P-145,75,106,79,66,P,-
P-146,100,45,56,46,E,92
P-147,65,46,55,36,P,-
P-148,67,100,49,50,P,-
P-149,63,45,104,76,E,84
P-150,54,42,58,12,P,-
P-151,44,106,79,23,E,89
P-152,67,57,49,39,E,73
P-153,62,64,51,59,E,62
P-154,64,103,91,47,E,118
P-155,95,87,47,95,E,99
P-156,47,73,110,57,E,124
P-157,88,88,54,30,P,-
P-158,72,107,95,135,E,61
P-159,50,92,52,15,E,66
P-160,108,82,99,232,E,84
P-161,78,97,62,127,E,67
P-162,46,104,65,36,P,-
P-163,49,83,83,45,P,-
P-164,102,40,87,99,E,124
P-165,103,96,93,267,P,-
P-166,84,62,103,142,E,134
P-167,47,50,100,33,E,124
P-168,68,87,88,109,P,-
P-169,48,87,94,102,E,136
P-170,100,81,44,39,E,120
P-171,50,55,93,55,E,110
P-172,51,71,76,22,E,112
P-173,92,81,89,130,E,81
P-174,107,101,47,107,E,127
P-175,66,88,96,127,E,121
P-176,60,62,102,42,E,87
P-177,44,41,99,17,E,77
P-178,78,69,96,97,E,98
P-179,62,73,63,38,E,84
P-180,80,71,59,43,P,-
P-181,98,58,57,93,P,-
P-182,45,70,78,42,E,65
P-183,105,72,57,37,P,-
P-184,88,96,74,129,E,84
P-185,42,67,100,52,E,133
P-186,47,84,93,60,E,118
P-187,54,84,78,97,P,-
P-188,86,51,51,12,P,-
P-189,56,63,87,66,E,121
P-190,108,101,52,143,E,128
P-191,100,71,94,123,E,64
P-192,54,76,74,33,E,106
P-193,72,87,67,113,E,75
P-194,71,48,109,97,E,116
P-195,102,57,72,62,E,90
P-196,64,107,66,85,E,60
P-197,109,82,99,68,E,85
P-198,74,59,84,68,E,113
P-199,58,67,73,59,P,-
P-200,74,74,83,81,E,95
P-201,80,106,76,159,E,139
P-202,52,94,40,57,E,105
P-203,68,106,93,52,E,63
P-204,55,88,103,150,E,101
P-205,47,40,109,24,E,107
P-206,60,47,41,29,E,85
P-207,70,45,95,46,P,-
P-208,89,50,102,117,E,127
P-209,75,44,72,57,E,74
P-210,45,93,88,64,E,67
P-211,96,95,81,142,P,-
P-212,105,74,48,96,P,-
P-213,71,50,105,94,E,66
P-214,58,81,61,40,P,-
P-215,87,89,80,126,P,-
P-216,44,64,83,57,P,-
P-217,78,74,72,97,P,-
P-218,90,77,59,63,E,134
P-219,94,61,76,57,P,-
P-220,44,104,71,80,E,137
P-221,68,44,49,13,E,86
P-222,88,73,41,59,P,-
P-223,83,92,109,145,E,66
P-224,68,99,56,103,P,-
P-225,54,68,93,52,E,98
P-226,60,72,74,27,P,-
P-227,59,73,96,58,E,118
P-228,98,92,51,128,E,75
P-229,69,81,104,171,E,116
P-230,46,48,86,44,E,82
P-231,96,68,49,48,E,91
P-232,67,84,47,38,P,-
P-233,71,59,101,120,E,63
P-234,43,65,104,60,E,101
P-235,80,105,84,61,E,95
P-236,91,56,56,57,P,-
P-237,97,74,101,193,E,97
P-238,50,69,102,74,P,-
P-239,79,85,71,94,E,93
P-240,101,88,65,84,E,127
P-241,71,74,91,25,E,115
P-242,89,69,53,48,E,118
P-243,69,77,105,98,E,76
P-244,76,62,75,24,E,111
P-245,53,105,80,61,E,67
P-246,60,102,61,58,E,106
P-247,98,62,79,61,E,136
P-248,77,67,52,70,E,139
P-249,89,67,55,66,E,88
P-250,65,59,102,105,E,89
P-251,78,44,106,106,E,71
P-252,48,110,95,139,P,-
P-253,91,49,99,99,E,98
P-254,99,51,79,101,E,72
P-255,64,98,96,78,P,-
P-256,92,64,66,117,E,99
P-257,67,51,54,40,E,103
P-258,71,55,82,43,E,138
P-259,84,72,86,55,E,98
P-260,43,49,99,20,E,65
P-261,100,77,42,80,E,114
P-262,103,92,109,99,E,65
P-263,56,83,98,33,E,107
P-264,60,68,108,35,P,-
P-265,47,60,58,37,P,-
P-266,61,88,53,37,P,-
P-267,54,97,98,130,E,116
P-268,84,63,100,99,E,95
P-269,58,56,74,25,E,85
P-270,52,70,47,12,P,-
P-271,41,44,92,30,E,63
P-272,75,64,40,54,E,133
P-273,85,79,71,127,P,-
P-274,75,88,110,114,P,-
P-275,74,77,45,31,P,-
P-276,46,69,62,29,E,70
P-277,54,108,105,93,P,-
P-278,73,44,80,60,E,96
P-279,85,99,52,118,E,101
P-280,90,61,53,75,P,-
P-281,55,84,105,57,E,95
P-282,107,92,54,147,P,-
P-283,100,97,66,79,P,-
P-284,70,110,52,86,P,-
P-285,81,108,54,78,P,-
P-286,93,75,73,133,E,102
P-287,99,86,84,94,E,110
P-288,61,101,94,36,E,122
P-289,70,43,66,28,E,79
P-290,80,69,46,23,E,64
P-291,74,81,40,42,E,124
P-292,63,100,93,46,E,66
P-293,56,104,56,78,E,81
P-294,88,93,44,30,E,69
P-295,49,109,69,32,P,-
P-296,92,81,93,50,E,60
P-297,103,101,68,149,P,-
P-298,44,91,86,57,E,83
P-299,83,87,80,55,P,-
P-300,97,69,101,57,P,-
P-301,61,72,69,76,E,72
P-302,64,106,65,98,E,84
P-303,57,62,106,75,E,85
P-304,51,68,89,31,P,-
P-305,53,58,63,22,E,104
P-306,88,91,90,57,E,106
P-307,43,82,96,100,E,123
P-308,57,64,110,62,E,87
P-309,104,91,60,135,E,66
P-310,65,59,43,15,P,-
P-311,79,101,43,26,E,69
P-312,90,97,56,121,E,120
P-313,91,54,54,73,E,120
P-314,84,53,93,48,E,93
P-315,50,75,53,14,E,104
P-316,105,103,71,201,E,123
P-317,53,86,50,44,E,89
P-318,86,75,99,47,E,89
P-319,48,102,101,144,P,-
P-320,64,53,57,55,P,-
P-321,71,78,98,92,E,91
P-322,45,66,102,72,E,104
P-323,72,98,97,183,E,129
P-324,68,40,41,27,E,122
P-325,80,63,77,93,E,74
P-326,84,51,45,17,E,136
P-327,58,96,44,18,E,119
P-328,50,78,82,57,E,72
P-329,94,65,58,26,P,-
P-330,105,106,97,271,E,75
P-331,71,43,88,64,E,91
P-332,57,103,79,63,E,108
P-333,100,85,72,59,P,-
P-334,65,99,54,103,E,102
P-335,91,57,95,47,E,140
P-336,49,68,72,33,E,114
P-337,40,77,102,52,E,102
P-338,46,88,87,75,E,70
P-339,54,76,76,80,E,94
P-340,103,90,49,66,E,98
P-341,72,87,57,50,E,109
P-342,63,66,78,83,E,85
P-343,107,67,77,98,E,130
P-344,55,89,92,111,E,95
P-345,43,78,47,43,P,-
P-346,83,95,110,54,P,-
P-347,53,105,102,96,E,116
P-348,89,77,56,60,E,89
P-349,99,104,68,70,E,80
P-350,85,60,69,52,P,-
