28460,254,3
P-1,U2,162,0,107,215,99,162
P-2,U3,0,72,95,99,128,176
P-3,U5,0,7,153,51,108,195
P-4,U6,0,0,81,75,108,137
P-5,U2,0,58,0,64,146,58
P-6,U3,100,0,96,184,56,187
P-7,NONE,-1,-1,-1,-1,-1,-1
P-8,NONE,-1,-1,-1,-1,-1,-1
P-9,U5,54,174,118,142,247,189
P-10,U1,65,52,0,135,137,88
P-11,U6,44,20,0,99,100,81
P-12,U4,70,79,94,118,167,174
P-13,NONE,-1,-1,-1,-1,-1,-1
P-14,U2,65,126,41,111,207,86
P-15,U3,100,75,0,184,124,60
P-16,U5,54,103,0,147,166,48
P-17,U3,100,125,182,183,188,239
P-18,NONE,-1,-1,-1,-1,-1,-1
P-19,U4,0,116,0,69,167,87
P-20,U1,135,245,0,223,301,106
P-21,NONE,-1,-1,-1,-1,-1,-1
P-22,NONE,-1,-1,-1,-1,-1,-1
P-23,U5,0,108,168,51,158,278
P-24,NONE,-1,-1,-1,-1,-1,-1
P-25,U2,162,99,107,215,176,151
P-26,U4,0,133,166,69,189,239
P-27,U2,112,108,0,161,170,93
P-28,U6,0,100,0,64,195,81
P-29,U2,162,176,89,215,262,151
P-30,NONE,-1,-1,-1,-1,-1,-1
P-31,U4,70,43,0,119,114,76
P-32,U4,0,0,106,70,44,204
P-33,NONE,-1,-1,-1,-1,-1,-1
P-34,U6,0,195,0,45,282,81
P-35,NONE,-1,-1,-1,-1,-1,-1
P-36,U3,100,232,96,180,318,174
P-37,U4,119,59,76,170,118,152
P-38,NONE,-1,-1,-1,-1,-1,-1
P-39,NONE,-1,-1,-1,-1,-1,-1
P-40,U2,65,186,86,110,276,156
P-41,U5,54,247,85,144,315,189
P-42,U1,0,46,0,62,155,41
P-43,U6,106,209,229,192,317,280
P-44,U2,112,170,0,161,210,84
P-45,U5,54,166,46,145,247,118
P-46,U3,0,238,74,94,309,136
P-47,NONE,-1,-1,-1,-1,-1,-1
P-48,U2,0,0,58,65,48,111
P-49,U1,65,137,0,134,237,40
P-50,U5,147,101,153,220,165,257
P-51,NONE,-1,-1,-1,-1,-1,-1
P-52,NONE,-1,-1,-1,-1,-1,-1
P-53,U6,0,216,229,106,260,282
P-54,U4,119,0,0,170,59,106
P-55,NONE,-1,-1,-1,-1,-1,-1
P-56,NONE,-1,-1,-1,-1,-1,-1
P-57,U2,0,171,101,64,254,160
P-58,U6,83,205,81,178,307,136
P-59,U4,70,0,99,119,79,184
P-60,NONE,-1,-1,-1,-1,-1,-1
P-61,NONE,-1,-1,-1,-1,-1,-1
P-62,U6,0,203,137,43,291,229
P-63,NONE,-1,-1,-1,-1,-1,-1
P-64,NONE,-1,-1,-1,-1,-1,-1
P-65,U6,114,268,0,224,318,78
P-66,U4,70,0,184,117,86,234
P-67,NONE,-1,-1,-1,-1,-1,-1
P-68,U5,54,166,0,146,247,46
P-69,U3,100,0,187,184,47,241
P-70,NONE,-1,-1,-1,-1,-1,-1
P-71,U3,0,67,182,99,110,242
P-72,NONE,-1,-1,-1,-1,-1,-1
P-73,U5,54,103,157,140,166,261
P-74,NONE,-1,-1,-1,-1,-1,-1
P-75,U4,170,0,104,244,43,189
P-76,U6,0,107,137,40,203,229
P-77,U6,154,10,228,219,106,278
P-78,U4,170,0,0,244,42,104
P-79,NONE,-1,-1,-1,-1,-1,-1
P-80,U2,65,207,41,109,292,84
P-81,NONE,-1,-1,-1,-1,-1,-1
P-82,U3,0,207,0,97,273,71
P-83,NONE,-1,-1,-1,-1,-1,-1
P-84,NONE,-1,-1,-1,-1,-1,-1
P-85,U2,65,82,40,112,126,108
P-86,U1,0,46,41,65,87,104
P-87,U2,162,0,0,215,54,107
P-88,NONE,-1,-1,-1,-1,-1,-1
P-89,NONE,-1,-1,-1,-1,-1,-1
